iter	Passed	Remaining
0	168	168413
1	173	86377
2	176	58803
3	179	44809
4	182	36408
5	184	30628
6	187	26542
7	188	23394
8	190	20949
9	191	18985
10	193	17420
11	195	16078
12	196	14930
13	198	13946
14	199	13097
15	200	12352
16	202	11691
17	203	11107
18	204	10580
19	206	10119
20	209	9762
21	210	9376
22	212	9021
23	213	8691
24	215	8389
25	216	8107
26	217	7846
27	219	7603
28	220	7378
29	223	7218
30	224	7025
31	226	6842
32	227	6670
33	228	6504
34	230	6347
35	231	6201
36	233	6065
37	234	5934
38	236	5829
39	238	5717
40	239	5611
41	241	5505
42	242	5403
43	244	5304
44	245	5208
45	246	5117
46	248	5029
47	249	4950
48	251	4889
49	253	4813
50	254	4739
51	255	4666
52	257	4597
53	258	4532
54	260	4469
55	261	4408
56	263	4364
57	266	4323
58	267	4268
59	268	4213
60	270	4160
61	271	4109
62	272	4059
63	274	4011
64	275	3965
65	277	3927
66	279	3890
67	280	3849
68	282	3808
69	283	3767
70	284	3728
71	286	3690
72	287	3654
73	289	3617
74	290	3581
75	293	3566
76	294	3534
77	296	3501
78	297	3469
79	298	3437
80	300	3406
81	301	3376
82	302	3340
83	303	3311
84	305	3283
85	308	3274
86	309	3248
87	311	3223
88	312	3197
89	313	3171
90	315	3146
91	316	3122
92	317	3099
93	319	3076
94	320	3053
95	322	3041
96	324	3019
97	325	2998
98	327	2977
99	328	2956
100	329	2935
101	331	2915
102	332	2895
103	333	2876
104	336	2867
105	338	2852
106	339	2833
107	340	2815
108	342	2797
109	343	2779
110	344	2762
111	346	2746
112	347	2729
113	349	2712
114	351	2706
115	353	2691
116	354	2674
117	355	2658
118	357	2643
119	358	2627
120	359	2613
121	360	2597
122	362	2583
123	363	2568
124	365	2561
125	367	2549
126	368	2533
127	370	2521
128	371	2509
129	373	2497
130	374	2483
131	375	2471
132	377	2459
133	378	2446
134	380	2438
135	382	2427
136	383	2415
137	384	2403
138	386	2391
139	387	2379
140	388	2369
141	389	2355
142	391	2344
143	392	2334
144	394	2323
145	396	2320
146	398	2310
147	399	2299
148	400	2289
149	402	2280
150	404	2271
151	405	2261
152	406	2251
153	408	2243
154	410	2237
155	411	2228
156	413	2218
157	414	2208
158	415	2199
159	417	2190
160	418	2179
161	419	2170
162	420	2160
163	422	2152
164	424	2149
165	426	2142
166	427	2134
167	429	2126
168	430	2117
169	432	2109
170	433	2101
171	434	2093
172	436	2085
173	437	2077
174	440	2076
175	441	2068
176	443	2060
177	444	2052
178	445	2045
179	447	2038
180	448	2030
181	450	2023
182	451	2015
183	454	2014
184	455	2007
185	457	2000
186	458	1993
187	459	1986
188	461	1979
189	462	1971
190	463	1965
191	465	1958
192	466	1951
193	469	1950
194	470	1943
195	472	1937
196	473	1930
197	475	1924
198	476	1917
199	477	1910
200	479	1904
201	480	1898
202	481	1891
203	484	1891
204	486	1885
205	487	1879
206	488	1873
207	490	1866
208	491	1860
209	492	1854
210	494	1848
211	495	1842
212	497	1837
213	499	1835
214	501	1829
215	502	1824
216	504	1819
217	505	1813
218	506	1807
219	508	1801
220	509	1795
221	510	1790
222	513	1789
223	515	1784
224	516	1779
225	517	1773
226	519	1768
227	520	1762
228	521	1757
229	523	1751
230	524	1746
231	526	1741
232	528	1741
233	530	1736
234	531	1731
235	533	1725
236	534	1720
237	535	1715
238	536	1709
239	538	1704
240	539	1699
241	541	1694
242	543	1693
243	545	1689
244	546	1684
245	547	1678
246	549	1673
247	550	1669
248	551	1664
249	553	1659
250	554	1654
251	555	1649
252	558	1649
253	560	1645
254	561	1640
255	562	1635
256	564	1630
257	565	1625
258	566	1621
259	568	1616
